T	=	8	;
R	=	174	;
U	=	50	;
S	=	25	;
L	=	5	;
levU	=	[	1	5	1	1	3	2	3	2	4	3	3	1	1	3	2	2	5	3	1	3	3	4	1	2	2	2	3	1	2	1	1	3	3	1	1	2	2	2	3	2	1	1	1	1	1	1	3	2	2	1 ];
levS	=	[	2	1	1	1	3	2	1	4	2	1	1	1	2	2	2	1	4	1	3	1	2	1	3	3	1 ];
d	=	[	1	8	1	3	8	1	8	1	4	8	8	1	5	8	1	1	8	8	5	3	8	1	7	2	8	8	4	1	1	8	8	8	8	3	8	2	8	8	1	4	2	1	8	3	2	8	8	1	1	8 ];
rd	=	[	8	1	7	6	1	4	1	7	3	1	1	7	1	1	7	5	1	1	3	2	1	1	1	7	1	1	1	6	4	1	1	1	1	6	1	5	1	1	8	3	6	1	1	2	1	1	1	2	5	1 ];
dd	=	[	8	8	7	8	8	6	8	7	6	8	8	8	8	8	7	5	8	8	8	7	8	4	7	8	8	8	4	7	8	8	8	8	8	8	8	8	8	8	8	8	7	4	8	6	3	8	8	4	8	8 ];
O	=	[	39000.0000	5293000.0000	76000.0000	208000.0000	1370000.0000	139000.0000	1359000.0000	70000.0000	1903000.0000	2183000.0000	1912000.0000	33000.0000	309000.0000	2194000.0000	68000.0000	126000.0000	4482000.0000	1223000.0000	194000.0000	426000.0000	1143000.0000	336000.0000	303000.0000	146000.0000	608000.0000	970000.0000	647000.0000	70000.0000	66000.0000	325000.0000	574000.0000	1959000.0000	1071000.0000	107000.0000	292000.0000	281000.0000	542000.0000	689000.0000	239000.0000	261000.0000	80000.0000	35000.0000	296000.0000	115000.0000	80000.0000	280000.0000	1359000.0000	77000.0000	80000.0000	295000.0000 ];
v	=	[	59.0000	239.0000	41.0000	93.0000	36.0000	187.0000	138.0000	256.0000	242.0000	242.0000	95.0000	300.0000	29.0000	164.0000	25.0000	273.0000	189.0000	100.0000	81.0000	41.0000	237.0000	146.0000	272.0000	212.0000	78.0000 ];
SFT	=	[	2.2E7	4.2E7	8.5E7	1.65E8	3.25E8 ];
FF	=	[	1.1E7	2.1E7	4.25E7	8.25E7	1.625E8 ];
MaxP	=	[	619000.0	1169000.0	2369000.0	4588999.999999999	9029000.0 ];
C	=	[[	10000.00	20000.00	50000.00	110000.00	220000.00	]
[	10000.00	20000.00	50000.00	110000.00	220000.00	]
[	10000.00	20000.00	50000.00	110000.00	220000.00	]
[	10000.00	20000.00	50000.00	110000.00	220000.00	]
[	10000.00	20000.00	50000.00	110000.00	220000.00	]
[	10000.00	20000.00	50000.00	110000.00	220000.00	]
[	10000.00	20000.00	50000.00	110000.00	220000.00	]
[	10000.00	20000.00	50000.00	110000.00	220000.00	]
];
demand	=	[[	30.00	58.00	57.00	14.00	38.00	55.00	118.00	203.00	]
[	21.00	35.00	37.00	2.00	16.00	35.00	36.00	145.00	]
[	29.00	37.00	29.00	4.00	27.00	17.00	7.00	159.00	]
[	2.00	35.00	21.00	38.00	28.00	8.00	53.00	118.00	]
[	12.00	106.00	134.00	147.00	62.00	150.00	262.00	271.00	]
[	18.00	66.00	69.00	67.00	7.00	63.00	122.00	169.00	]
[	4.00	28.00	36.00	14.00	30.00	29.00	4.00	8.00	]
[	52.00	46.00	174.00	89.00	177.00	129.00	577.00	174.00	]
[	19.00	42.00	66.00	10.00	47.00	66.00	122.00	283.00	]
[	33.00	28.00	5.00	19.00	30.00	3.00	38.00	140.00	]
[	15.00	34.00	9.00	35.00	2.00	38.00	9.00	141.00	]
[	38.00	4.00	36.00	39.00	38.00	15.00	47.00	16.00	]
[	0.00	1.00	58.00	35.00	39.00	20.00	86.00	40.00	]
[	35.00	36.00	35.00	65.00	15.00	71.00	54.00	292.00	]
[	64.00	49.00	51.00	79.00	25.00	28.00	85.00	200.00	]
[	8.00	4.00	26.00	26.00	12.00	39.00	12.00	30.00	]
[	99.00	130.00	81.00	170.00	278.00	76.00	338.00	851.00	]
[	13.00	24.00	26.00	20.00	39.00	38.00	64.00	123.00	]
[	18.00	16.00	140.00	79.00	107.00	62.00	249.00	527.00	]
[	6.00	26.00	38.00	2.00	34.00	21.00	13.00	91.00	]
[	1.00	69.00	75.00	25.00	56.00	65.00	19.00	132.00	]
[	2.00	35.00	33.00	22.00	36.00	14.00	65.00	29.00	]
[	51.00	20.00	83.00	142.00	124.00	23.00	95.00	151.00	]
[	50.00	66.00	17.00	53.00	82.00	119.00	53.00	511.00	]
[	27.00	34.00	38.00	15.00	9.00	29.00	56.00	155.00	]
];
