T	=	8	;
R	=	136	;
U	=	50	;
S	=	25	;
L	=	5	;
levU	=	[	2	4	3	1	2	1	1	1	3	1	1	1	2	1	1	1	1	1	3	1	2	1	2	2	3	2	3	2	3	2	1	1	1	4	2	1	1	1	1	1	1	1	3	1	3	2	1	1	1	3 ];
levS	=	[	2	2	1	2	1	1	1	1	1	2	4	1	1	3	2	1	2	2	2	1	3	1	1	2	2 ];
d	=	[	3	1	8	1	2	3	8	8	8	4	8	6	1	3	2	8	8	2	8	8	1	8	8	1	5	1	2	8	1	8	3	8	8	1	1	2	1	1	8	8	8	3	1	7	8	8	4	3	4	1 ];
rd	=	[	1	7	1	2	5	4	1	1	1	5	1	1	7	4	6	1	1	5	1	1	4	1	1	1	1	5	2	1	3	1	4	1	1	2	6	4	1	4	1	1	1	3	6	1	1	1	1	3	5	7 ];
dd	=	[	8	7	8	5	8	8	8	8	8	8	8	7	7	8	7	8	8	7	8	8	6	8	8	7	8	6	3	8	5	8	7	8	8	5	6	5	8	6	8	8	8	6	7	7	8	8	7	5	8	7 ];
O	=	[	383000.0000	544000.0000	1098000.0000	42000.0000	170000.0000	110000.0000	510000.0000	262000.0000	1970000.0000	149000.0000	496000.0000	459000.0000	66000.0000	206000.0000	154000.0000	342000.0000	261000.0000	142000.0000	1335000.0000	583000.0000	126000.0000	595000.0000	1125000.0000	125000.0000	1325000.0000	128000.0000	293000.0000	1080000.0000	261000.0000	558000.0000	193000.0000	567000.0000	266000.0000	308000.0000	66000.0000	67000.0000	42000.0000	36000.0000	299000.0000	263000.0000	306000.0000	125000.0000	264000.0000	288000.0000	1358000.0000	1031000.0000	146000.0000	204000.0000	156000.0000	133000.0000 ];
v	=	[	131.0000	96.0000	135.0000	194.0000	61.0000	162.0000	21.0000	64.0000	184.0000	212.0000	219.0000	39.0000	100.0000	249.0000	251.0000	213.0000	24.0000	114.0000	183.0000	240.0000	174.0000	301.0000	226.0000	145.0000	27.0000 ];
SFT	=	[	2.2E7	4.2E7	8.5E7	1.65E8	3.25E8 ];
FF	=	[	1.1E7	2.1E7	4.25E7	8.25E7	1.625E8 ];
MaxP	=	[	619000.0	1169000.0	2369000.0	4588999.999999999	9029000.0 ];
C	=	[[	10000.00	20000.00	50000.00	110000.00	220000.00	]
[	10000.00	20000.00	50000.00	110000.00	220000.00	]
[	10000.00	20000.00	50000.00	110000.00	220000.00	]
[	10000.00	20000.00	50000.00	110000.00	220000.00	]
[	10000.00	20000.00	50000.00	110000.00	220000.00	]
[	10000.00	20000.00	50000.00	110000.00	220000.00	]
[	10000.00	20000.00	50000.00	110000.00	220000.00	]
[	10000.00	20000.00	50000.00	110000.00	220000.00	]
];
demand	=	[[	9.00	36.00	76.00	55.00	2.00	24.00	75.00	274.00	]
[	26.00	42.00	33.00	23.00	57.00	63.00	132.00	246.00	]
[	38.00	4.00	20.00	39.00	20.00	37.00	64.00	151.00	]
[	62.00	53.00	27.00	40.00	10.00	12.00	51.00	205.00	]
[	3.00	26.00	12.00	21.00	6.00	4.00	73.00	105.00	]
[	33.00	29.00	10.00	19.00	9.00	22.00	45.00	13.00	]
[	14.00	0.00	27.00	39.00	3.00	27.00	24.00	80.00	]
[	19.00	22.00	23.00	0.00	15.00	20.00	36.00	131.00	]
[	19.00	10.00	7.00	17.00	39.00	34.00	50.00	111.00	]
[	25.00	17.00	20.00	71.00	48.00	51.00	34.00	115.00	]
[	160.00	46.00	166.00	233.00	44.00	254.00	54.00	1265.00	]
[	1.00	0.00	33.00	25.00	25.00	15.00	4.00	68.00	]
[	34.00	20.00	34.00	10.00	18.00	15.00	56.00	103.00	]
[	101.00	0.00	88.00	27.00	128.00	65.00	140.00	194.00	]
[	45.00	79.00	70.00	10.00	63.00	11.00	125.00	87.00	]
[	38.00	19.00	19.00	28.00	7.00	14.00	25.00	159.00	]
[	12.00	54.00	61.00	21.00	17.00	61.00	54.00	190.00	]
[	20.00	71.00	45.00	39.00	14.00	72.00	102.00	303.00	]
[	77.00	70.00	60.00	57.00	40.00	74.00	40.00	227.00	]
[	31.00	16.00	12.00	13.00	39.00	16.00	60.00	13.00	]
[	124.00	30.00	128.00	118.00	89.00	126.00	195.00	359.00	]
[	25.00	13.00	12.00	38.00	28.00	20.00	17.00	78.00	]
[	28.00	5.00	9.00	17.00	4.00	39.00	11.00	114.00	]
[	38.00	54.00	36.00	45.00	23.00	13.00	131.00	102.00	]
[	21.00	78.00	4.00	38.00	40.00	62.00	77.00	142.00	]
];
