T	=	8	;
R	=	186	;
U	=	100	;
S	=	50	;
L	=	5	;
levU	=	[	2	2	3	1	1	1	2	1	1	3	3	3	4	3	3	4	1	2	1	1	2	1	3	1	2	3	3	1	1	1	4	2	1	2	1	3	2	1	2	2	1	1	1	1	2	1	1	2	2	2	3	1	1	3	1	2	2	2	1	2	1	1	1	3	4	1	2	4	4	1	3	1	1	1	3	2	2	2	1	1	1	1	1	2	1	3	1	1	4	2	3	3	2	3	2	1	2	1	1	1 ];
levS	=	[	1	1	1	1	1	2	1	2	1	4	3	1	2	3	1	1	2	2	2	3	1	2	2	1	3	2	3	1	1	3	1	2	1	3	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2 ];
d	=	[	8	1	3	1	8	8	5	8	6	1	2	4	1	3	8	3	1	8	1	1	1	8	1	2	8	8	1	1	4	1	1	1	1	5	6	1	4	1	1	6	1	5	1	8	2	5	8	8	8	8	1	2	1	1	8	1	8	2	8	3	1	5	8	8	1	1	1	4	8	8	8	8	5	2	1	1	1	8	7	3	8	2	3	1	1	8	1	8	5	5	2	4	2	1	8	8	8	6	1	8 ];
rd	=	[	1	2	4	5	1	1	1	1	2	7	4	2	8	6	1	6	5	1	1	1	8	1	7	3	1	1	5	2	5	6	3	1	5	3	1	8	3	3	3	3	5	1	4	1	2	2	1	1	1	1	5	5	2	5	1	2	1	6	1	5	3	4	1	1	6	6	7	2	1	1	1	1	4	1	4	3	6	1	2	6	1	3	5	6	2	1	4	1	2	3	2	5	3	8	1	1	1	3	2	1 ];
dd	=	[	8	7	6	6	8	8	8	8	7	8	7	8	8	8	8	8	7	8	2	8	8	8	7	7	8	8	7	5	8	6	3	2	6	8	8	8	7	8	5	8	8	7	5	8	7	7	8	8	8	8	5	8	7	5	8	3	8	8	8	7	7	8	8	8	6	6	7	6	8	8	8	8	8	6	5	6	7	8	8	8	8	4	8	7	2	8	8	8	6	8	5	8	6	8	8	8	8	8	2	8 ];
O	=	[	1011000.0000	139000.0000	431000.0000	39000.0000	312000.0000	299000.0000	652000.0000	547000.0000	258000.0000	245000.0000	294000.0000	534000.0000	298000.0000	452000.0000	1256000.0000	802000.0000	33000.0000	684000.0000	76000.0000	34000.0000	68000.0000	338000.0000	266000.0000	82000.0000	662000.0000	1972000.0000	162000.0000	39000.0000	148000.0000	35000.0000	303000.0000	84000.0000	37000.0000	355000.0000	226000.0000	143000.0000	482000.0000	74000.0000	77000.0000	400000.0000	64000.0000	190000.0000	75000.0000	607000.0000	139000.0000	204000.0000	312000.0000	597000.0000	641000.0000	1154000.0000	290000.0000	70000.0000	39000.0000	257000.0000	509000.0000	123000.0000	668000.0000	132000.0000	302000.0000	212000.0000	36000.0000	176000.0000	515000.0000	1291000.0000	302000.0000	73000.0000	81000.0000	2206000.0000	3758000.0000	310000.0000	1369000.0000	300000.0000	194000.0000	80000.0000	271000.0000	67000.0000	125000.0000	576000.0000	273000.0000	112000.0000	308000.0000	78000.0000	107000.0000	74000.0000	35000.0000	1261000.0000	42000.0000	290000.0000	2593000.0000	391000.0000	284000.0000	677000.0000	140000.0000	135000.0000	601000.0000	502000.0000	1133000.0000	212000.0000	38000.0000	523000.0000 ];
v	=	[	112.0000	87.0000	175.0000	158.0000	192.0000	84.0000	229.0000	45.0000	182.0000	36.0000	254.0000	256.0000	142.0000	158.0000	140.0000	135.0000	215.0000	109.0000	45.0000	20.0000	105.0000	188.0000	123.0000	162.0000	249.0000	32.0000	85.0000	223.0000	41.0000	145.0000	45.0000	105.0000	12.0000	162.0000	23.0000	232.0000	77.0000	71.0000	58.0000	271.0000	222.0000	99.0000	251.0000	97.0000	187.0000	254.0000	83.0000	150.0000	206.0000	86.0000 ];
SFT	=	[	2.2E7	4.2E7	8.5E7	1.65E8	3.25E8 ];
FF	=	[	1.1E7	2.1E7	4.25E7	8.25E7	1.625E8 ];
MaxP	=	[	619000.0	1169000.0	2369000.0	4588999.999999999	9029000.0 ];
C	=	[[	10000.00	20000.00	50000.00	110000.00	220000.00	]
[	10000.00	20000.00	50000.00	110000.00	220000.00	]
[	10000.00	20000.00	50000.00	110000.00	220000.00	]
[	10000.00	20000.00	50000.00	110000.00	220000.00	]
[	10000.00	20000.00	50000.00	110000.00	220000.00	]
[	10000.00	20000.00	50000.00	110000.00	220000.00	]
[	10000.00	20000.00	50000.00	110000.00	220000.00	]
[	10000.00	20000.00	50000.00	110000.00	220000.00	]
];
demand	=	[[	39.00	4.00	20.00	22.00	28.00	26.00	8.00	46.00	]
[	3.00	18.00	26.00	24.00	10.00	10.00	35.00	70.00	]
[	39.00	5.00	9.00	37.00	8.00	21.00	14.00	66.00	]
[	35.00	20.00	13.00	34.00	1.00	6.00	33.00	121.00	]
[	25.00	2.00	11.00	12.00	31.00	24.00	8.00	7.00	]
[	10.00	67.00	45.00	44.00	63.00	46.00	76.00	126.00	]
[	10.00	20.00	39.00	6.00	26.00	15.00	55.00	109.00	]
[	30.00	43.00	79.00	78.00	7.00	26.00	126.00	120.00	]
[	17.00	37.00	24.00	38.00	16.00	39.00	77.00	101.00	]
[	200.00	257.00	46.00	45.00	16.00	198.00	9.00	565.00	]
[	85.00	43.00	108.00	86.00	23.00	142.00	241.00	98.00	]
[	16.00	28.00	31.00	28.00	7.00	35.00	32.00	1.00	]
[	13.00	52.00	65.00	29.00	62.00	79.00	124.00	154.00	]
[	157.00	129.00	123.00	93.00	88.00	95.00	156.00	114.00	]
[	20.00	37.00	22.00	30.00	1.00	3.00	12.00	134.00	]
[	16.00	39.00	6.00	13.00	3.00	30.00	14.00	103.00	]
[	21.00	4.00	12.00	44.00	34.00	79.00	22.00	2.00	]
[	37.00	14.00	44.00	7.00	42.00	46.00	156.00	293.00	]
[	26.00	39.00	0.00	5.00	14.00	5.00	22.00	238.00	]
[	144.00	153.00	4.00	96.00	133.00	118.00	157.00	606.00	]
[	27.00	11.00	30.00	30.00	27.00	7.00	31.00	109.00	]
[	23.00	45.00	55.00	4.00	77.00	73.00	79.00	61.00	]
[	41.00	35.00	76.00	0.00	29.00	70.00	0.00	217.00	]
[	37.00	11.00	26.00	5.00	34.00	3.00	26.00	93.00	]
[	76.00	43.00	78.00	19.00	3.00	128.00	171.00	102.00	]
[	24.00	48.00	39.00	51.00	28.00	0.00	45.00	315.00	]
[	24.00	146.00	56.00	76.00	58.00	43.00	305.00	501.00	]
[	23.00	3.00	27.00	24.00	31.00	25.00	12.00	70.00	]
[	24.00	0.00	20.00	38.00	28.00	20.00	16.00	101.00	]
[	45.00	103.00	117.00	115.00	42.00	29.00	104.00	376.00	]
[	16.00	24.00	11.00	20.00	16.00	31.00	7.00	120.00	]
[	27.00	50.00	23.00	55.00	23.00	66.00	28.00	307.00	]
[	22.00	28.00	11.00	18.00	5.00	16.00	14.00	133.00	]
[	132.00	30.00	10.00	121.00	51.00	106.00	124.00	619.00	]
[	31.00	33.00	19.00	37.00	23.00	39.00	60.00	7.00	]
[	24.00	20.00	15.00	2.00	38.00	4.00	5.00	27.00	]
[	27.00	15.00	37.00	29.00	11.00	15.00	31.00	130.00	]
[	24.00	14.00	30.00	23.00	20.00	5.00	79.00	9.00	]
[	14.00	21.00	26.00	15.00	37.00	6.00	31.00	108.00	]
[	38.00	0.00	31.00	1.00	15.00	20.00	52.00	76.00	]
[	36.00	19.00	3.00	37.00	31.00	7.00	3.00	136.00	]
[	4.00	10.00	39.00	25.00	4.00	27.00	53.00	74.00	]
[	16.00	12.00	10.00	37.00	7.00	5.00	48.00	61.00	]
[	13.00	13.00	32.00	22.00	12.00	15.00	19.00	119.00	]
[	39.00	30.00	39.00	33.00	8.00	32.00	45.00	53.00	]
[	28.00	69.00	24.00	29.00	12.00	55.00	21.00	307.00	]
[	57.00	9.00	61.00	61.00	1.00	68.00	19.00	282.00	]
[	25.00	1.00	75.00	72.00	77.00	7.00	153.00	87.00	]
[	38.00	67.00	36.00	41.00	42.00	27.00	143.00	111.00	]
[	74.00	20.00	0.00	58.00	47.00	35.00	31.00	313.00	]
];
