T	=	12	;
R	=	168	;
U	=	50	;
S	=	25	;
L	=	5	;
levU	=	[	2	1	2	2	3	2	1	2	1	1	1	2	1	4	2	2	1	2	2	4	3	1	2	4	2	1	3	2	1	3	3	1	3	4	1	1	1	4	1	1	1	2	2	1	1	3	1	2	1	1 ];
levS	=	[	1	2	2	4	2	2	1	1	1	1	1	1	1	1	2	1	2	3	2	1	1	1	3	5	1 ];
d	=	[	1	1	1	5	4	1	2	1	12	4	4	6	12	12	1	1	1	12	2	12	12	12	1	2	12	12	1	2	1	3	12	3	12	1	1	12	12	2	11	1	2	12	3	4	2	1	1	7	1	4 ];
rd	=	[	6	7	2	1	1	2	11	12	1	8	2	6	1	1	2	11	2	1	5	1	1	1	10	5	1	1	8	8	7	3	1	7	1	12	5	1	1	5	2	1	9	1	5	2	7	4	5	6	3	8 ];
dd	=	[	6	11	6	11	5	3	12	12	12	12	11	12	12	12	9	11	11	12	6	12	12	12	10	12	12	12	12	11	7	6	12	9	12	12	10	12	12	7	12	5	10	12	11	10	12	6	5	12	7	11 ];
O	=	[	77000.0000	35000.0000	76000.0000	587000.0000	979000.0000	123000.0000	152000.0000	79000.0000	412000.0000	167000.0000	306000.0000	785000.0000	502000.0000	6824000.0000	78000.0000	73000.0000	71000.0000	977000.0000	269000.0000	3578000.0000	3372000.0000	391000.0000	121000.0000	1030000.0000	1417000.0000	801000.0000	172000.0000	163000.0000	43000.0000	394000.0000	1969000.0000	216000.0000	3012000.0000	293000.0000	40000.0000	889000.0000	403000.0000	557000.0000	383000.0000	34000.0000	72000.0000	828000.0000	382000.0000	158000.0000	137000.0000	271000.0000	33000.0000	543000.0000	32000.0000	146000.0000 ];
v	=	[	214.0000	63.0000	169.0000	170.0000	70.0000	37.0000	202.0000	102.0000	106.0000	229.0000	48.0000	261.0000	36.0000	185.0000	243.0000	28.0000	49.0000	248.0000	145.0000	202.0000	223.0000	117.0000	24.0000	91.0000	175.0000 ];
SFT	=	[	2.2E7	4.2E7	8.5E7	1.65E8	3.25E8 ];
FF	=	[	1.1E7	2.1E7	4.25E7	8.25E7	1.625E8 ];
MaxP	=	[	619000.0	1169000.0	2369000.0	4588999.999999999	9029000.0 ];
C	=	[[	10000.00	20000.00	50000.00	110000.00	220000.00	]
[	10000.00	20000.00	50000.00	110000.00	220000.00	]
[	10000.00	20000.00	50000.00	110000.00	220000.00	]
[	10000.00	20000.00	50000.00	110000.00	220000.00	]
[	10000.00	20000.00	50000.00	110000.00	220000.00	]
[	10000.00	20000.00	50000.00	110000.00	220000.00	]
[	10000.00	20000.00	50000.00	110000.00	220000.00	]
[	10000.00	20000.00	50000.00	110000.00	220000.00	]
[	10000.00	20000.00	50000.00	110000.00	220000.00	]
[	10000.00	20000.00	50000.00	110000.00	220000.00	]
[	10000.00	20000.00	50000.00	110000.00	220000.00	]
[	10000.00	20000.00	50000.00	110000.00	220000.00	]
];
demand	=	[[	33.00	0.00	16.00	12.00	29.00	19.00	36.00	139.00	137.00	198.00	57.00	55.00	]
[	60.00	43.00	10.00	33.00	77.00	65.00	105.00	187.00	203.00	400.00	366.00	209.00	]
[	48.00	10.00	8.00	73.00	73.00	51.00	42.00	59.00	121.00	309.00	400.00	400.00	]
[	66.00	238.00	120.00	258.00	56.00	95.00	505.00	174.00	1022.00	585.00	1600.00	609.00	]
[	56.00	13.00	62.00	56.00	25.00	43.00	150.00	43.00	156.00	232.00	122.00	400.00	]
[	50.00	30.00	39.00	72.00	15.00	73.00	33.00	157.00	121.00	379.00	230.00	203.00	]
[	13.00	20.00	6.00	31.00	28.00	37.00	51.00	142.00	100.00	102.00	200.00	110.00	]
[	10.00	31.00	30.00	16.00	23.00	2.00	68.00	107.00	118.00	118.00	200.00	177.00	]
[	31.00	14.00	25.00	5.00	35.00	3.00	16.00	12.00	54.00	200.00	200.00	189.00	]
[	39.00	15.00	31.00	23.00	13.00	15.00	70.00	61.00	16.00	200.00	124.00	70.00	]
[	24.00	0.00	0.00	31.00	34.00	19.00	7.00	22.00	183.00	200.00	76.00	200.00	]
[	11.00	39.00	18.00	26.00	7.00	38.00	42.00	25.00	76.00	115.00	92.00	116.00	]
[	1.00	24.00	26.00	2.00	20.00	21.00	40.00	125.00	12.00	56.00	146.00	200.00	]
[	3.00	39.00	3.00	15.00	16.00	39.00	12.00	126.00	91.00	44.00	200.00	200.00	]
[	34.00	19.00	32.00	16.00	15.00	19.00	22.00	155.00	162.00	400.00	19.00	392.00	]
[	23.00	32.00	28.00	17.00	16.00	30.00	26.00	69.00	102.00	117.00	119.00	50.00	]
[	29.00	48.00	43.00	63.00	3.00	52.00	38.00	10.00	274.00	400.00	400.00	302.00	]
[	37.00	41.00	57.00	18.00	56.00	117.00	99.00	368.00	658.00	679.00	555.00	383.00	]
[	71.00	47.00	9.00	18.00	65.00	22.00	61.00	285.00	13.00	400.00	400.00	383.00	]
[	36.00	33.00	20.00	36.00	6.00	32.00	7.00	7.00	183.00	200.00	200.00	200.00	]
[	30.00	37.00	3.00	26.00	15.00	39.00	11.00	101.00	131.00	36.00	200.00	104.00	]
[	23.00	21.00	34.00	1.00	2.00	1.00	68.00	25.00	110.00	12.00	33.00	127.00	]
[	73.00	73.00	107.00	129.00	133.00	117.00	81.00	364.00	325.00	324.00	798.00	800.00	]
[	332.00	435.00	307.00	419.00	101.00	263.00	587.00	2052.00	2021.00	195.00	1781.00	325.00	]
[	3.00	39.00	20.00	11.00	34.00	7.00	39.00	137.00	24.00	95.00	14.00	121.00	]
];
